idbook,title,author,language,code,section,description,physical_state,status,price
1,PALABRUJAS,EDGARR ALLAN GARCÍA,ESPAÑOL,30006314,LL,POEMAS CORTOS,BUENE STADO,1,0
2,FIESTAS POPULARES,ANONIMO,ESPAÑOL,3057,CP,HISTORIA,,1,0
3,EL LAZARILLO DE TORMES,ANÓNIMO,ESPAÑOL,4003,LG,CABALLERIA Y AVENTURA,,1,0
4,EL LAZARILLO DE TORMES,ANÓNIMO,ESPAÑOL,4004,LG,CABALLERIA Y AVENTURA,,1,0
5,EL LAZARILLO DE TORMES,ANÓNIMO,ESPAÑOL,4005,LG,CABALLERIA Y AVENTURA,,1,0
6,EL LAZARILLO DE TORMES,ANÓNIMO,ESPAÑOL,4006,LG,CABALLERIA Y AVENTURA,,1,0
7,EL LAZARILLO DE TORMES,ANÓNIMO,ESPAÑOL,4007,LG,CABALLERIA Y AVENTURA,,1,0
8,EL LAZARILLO DE TORMES,ANÓNIMO,ESPAÑOL,4008,LG,CABALLERIA Y AVENTURA,,1,0
9,EL LAZARILLO DE TORMES,ANÓNIMO,ESPAÑOL,4009,LG,CABALLERIA Y AVENTURA,,1,0
10,EL LAZARILLO DE TORMES,ANÓNIMO,ESPAÑOL,4010,LG,CABALLERIA Y AVENTURA,,1,0
11,EL LAZARILLO DE TORMES,ANÓNIMO,ESPAÑOL,4011,LG,CABALLERIA Y AVENTURA,,1,0
12,EL LAZARILLO DE TORMES,ANÓNIMO,ESPAÑOL,4012,LG,CABALLERIA Y AVENTURA,,1,0
13,EL LAZARILLO DE TORMES,ANÓNIMO,ESPAÑOL,4013,LG,CABALLERIA Y AVENTURA,,1,0
14,CRÓNICA DE UNA MUERTE ANUNCIADA,GABRIEL GARCIA MARQUEZ,ESPAÑOL,4015,LG,MISTERIO,,1,0
15,CRÓNICA DE UNA MUERTE ANUNCIADA,GABRIEL GARCIA MARQUEZ,ESPAÑOL,4016,LG,MISTERIO,,1,0
16,DE LA TIERRA A LA LUNA,JULIO VERNE,ESPAÑOL,4017,LL,AVENTURA Y TRAVESÍA,,1,0
17,DE LA TIERRA A LA LUNA,JULIO VERNE,ESPAÑOL,4018,LL,DE LA TIERRA A LA LUNA,,1,0
18,LA ODISEA,HOMERO,ESPAÑOL,4020,LG,CABALLERIA Y AVENTURA,,1,0
19,LAS AVENTURAS DE TOM SAWYER,MARK TWAIN,ESPAÑOL,4021,LG,AVENTURA Y TRAVESÍA,,1,0
20,LAS AVENTURAS DE TOM SAWYER,MARK TWAIN,ESPAÑOL,4022,LG,AVENTURA Y TRAVESÍA,,1,0
21,LAS AVENTURAS DE TOM SAWYER,MARK TWAIN,ESPAÑOL,4023,LG,AVENTURA Y TRAVESÍA,,1,0
22,LAS AVENTURAS DE TOW SAWYER,MARK TWAIN,ESPAÑOL,4024,LL,AVENTURA Y FANTASIA,,1,0
23,LA ODISEA,HOMERO,ESPAÑOL,4025,LG,CABALLERIA Y AVENTURA,,1,0
24,LA ODISEA,HOMERO,ESPAÑOL,4026,LG,CABALLERIA Y AVENTURA,,1,0
25,LA ODISEA,HOMERO,ESPAÑOL,4027,LG,CABALLERIA Y AVENTURA,,1,0
26,LA ODISEA,HOMERO,ESPAÑOL,4029,LG,CABALLERIA Y AVENTURA,,1,0
27,LA ODISEA,HOMERO,ESPAÑOL,4030,LG,CABALLERIA Y AVENTURA,,1,0
28,LA ODISEA,HOMERO,ESPAÑOL,4031,LG,CABALLERIA Y AVENTURA,,1,0
29,LA ODISEA,HOMERO,ESPAÑOL,4032,LG,CABALLERIA Y AVENTURA,,1,0
30,LA ODISEA,HOMERO,ESPAÑOL,4034,LG,CABALLERIA Y AVENTURA,,1,0
31,EL TÚNEL,ERNESTO SÁBATO,ESPAÑOL,4036,LG,NOVELA POLICIAL,,1,0
32,EL TÚNEL,ERNESTO SÁBATO,ESPAÑOL,4037,LG,NOVELA POLICIAL,,1,0
33,EL TÚNEL,ERNESTO SÁBATO,ESPAÑOL,4039,LG,NOVELA POLICIAL,,1,0
34,EL TÚNEL,ERNESTO SÁBATO,ESPAÑOL,4042,LG,NOVELA POLICIAL,,1,0
35,EL TÚNEL,ERNESTO SÁBATO,ESPAÑOL,4043,LG,NOVELA POLICIAL,,1,0
36,CRÓNICA DE UNA MUERTE ANUNCIADA,GABRIEL GARCIA MARQUEZ,ESPAÑOL,4046,LG,MISTERIO,,1,0
37,CRÓNICA DE UNA MUERTE ANUNCIADA,GABRIEL GARCIA MARQUEZ,ESPAÑOL,4047,LG,MISTERIO,,1,0
38,CRÓNICA DE UNA MUERTE ANUNCIADA,GABRIEL GARCIA MARQUEZ,ESPAÑOL,4048,LG,MISTERIO,,1,0
39,CRÓNICA DE UNA MUERTE ANUNCIADA,GABRIEL GARCIA MARQUEZ,ESPAÑOL,4049,LG,MISTERIO,,1,0
40,CRÓNICA DE UNA MUERTE ANUNCIADA,GABRIEL GARCIA MARQUEZ,ESPAÑOL,4050,LG,MISTERIO,,1,0
41,CRÓNICA DE UNA MUERTE ANUNCIADA,GABRIEL GARCIA MARQUEZ,ESPAÑOL,4051,LG,MISTERIO,,1,0
