idloan,aqcisition_date,date_of_devolution,book_idbook,user_iduser,confirm_devolution
1,2024-12-17 13:50:30,NULL,15671,312,0
2,2024-12-17 13:50:01,NULL,15978,312,0
3,2024-12-17 13:48:10,NULL,15354,315,0
4,2024-12-17 13:47:35,NULL,5362,315,0
5,2024-12-17 13:41:51,NULL,6821,322,0
6,2024-12-17 13:41:15,NULL,13708,322,0
7,2024-12-17 13:40:32,NULL,4695,319,0
8,2024-12-17 13:40:03,NULL,15183,319,0
9,2024-12-17 13:39:28,NULL,2510,323,0
10,2024-12-17 13:38:51,NULL,7134,311,0
11,2024-12-17 13:38:08,NULL,5263,311,0
12,2024-12-17 13:37:35,NULL,7609,313,0
13,2024-12-17 13:36:50,NULL,15372,313,0
14,2024-12-17 13:36:01,NULL,6859,321,0
15,2024-12-17 13:10:13,NULL,17553,1,0
16,2024-12-17 13:07:59,NULL,5834,1,0
17,2024-12-17 13:07:35,NULL,14216,1,0
18,2024-12-17 13:07:07,NULL,4511,1,0
19,2024-12-17 13:06:32,NULL,4336,1,0
20,2024-12-17 13:05:34,NULL,5233,1,0
21,2024-12-17 13:04:50,NULL,5672,1,0
22,2024-12-17 13:04:18,NULL,16630,1,0
23,2024-12-17 13:02:02,NULL,15578,1,0
24,2024-12-17 13:01:21,NULL,14223,1,0
25,2024-12-17 13:00:50,NULL,1334,1,0
26,2024-12-17 13:00:19,NULL,14650,1,0
27,2024-12-17 12:59:19,NULL,8098,1,0
28,2024-12-17 12:58:51,NULL,16499,1,0
29,2024-12-17 12:57:55,NULL,5697,1,0
30,2024-12-17 12:57:19,NULL,16782,1,0
31,2024-12-17 12:56:16,NULL,2276,1,0
32,2024-12-17 12:55:43,NULL,7504,1,0
33,2024-12-17 12:55:02,NULL,7518,1,0
34,2024-12-17 12:53:59,NULL,14121,1,0
35,2024-12-17 12:53:04,NULL,7308,1,0
36,2024-12-17 12:52:41,NULL,15756,1,0
37,2024-12-17 12:52:18,NULL,12801,1,0
38,2024-12-17 12:51:55,NULL,15705,1,0
39,2024-12-17 12:51:25,NULL,12993,1,0
40,2024-12-17 12:51:02,NULL,5935,1,0
41,2024-12-17 12:50:36,NULL,2268,1,0
42,2024-12-17 12:49:57,NULL,14232,1,0
43,2024-12-17 12:49:10,NULL,6880,1,0
44,2024-12-17 12:48:09,NULL,7615,1,0
45,2024-12-16 11:33:30,NULL,5859,23,0
46,2024-12-16 11:33:01,NULL,16594,23,0
47,2024-12-16 11:32:11,NULL,4868,23,0
48,2024-12-16 11:31:39,NULL,5830,23,0
49,2024-12-16 11:31:10,NULL,15941,23,0
50,2024-12-16 11:27:20,NULL,5568,23,0
51,2024-12-16 11:25:52,NULL,12051,23,0
52,2024-12-16 11:25:15,NULL,11493,23,0
53,2024-12-16 11:24:47,NULL,14774,23,0
54,2024-12-16 11:24:22,NULL,4248,23,0
55,2024-12-16 11:23:49,NULL,4243,23,0
56,2024-12-16 11:22:09,NULL,10855,23,0
57,2024-12-16 11:21:22,NULL,10857,23,0
58,2024-12-16 11:20:16,NULL,11093,23,0
59,2024-12-16 11:19:36,NULL,5536,23,0
60,2024-12-16 11:18:26,NULL,6060,23,0
61,2024-12-16 11:17:59,NULL,5796,23,0
62,2024-12-16 11:17:36,NULL,14606,23,0
63,2024-12-16 11:17:06,NULL,5821,23,0
64,2024-12-11 13:21:24,NULL,8158,385,0
65,2024-12-11 13:20:53,NULL,7066,385,0
66,2024-12-11 13:17:43,NULL,7290,384,0
67,2024-12-11 13:17:20,NULL,11197,384,0
68,2024-12-11 13:15:58,NULL,12619,380,0
69,2024-12-11 13:15:28,NULL,6785,379,0
70,2024-12-11 13:14:47,NULL,8281,379,0
71,2024-12-11 13:13:45,NULL,4227,383,0
72,2024-12-11 13:13:20,NULL,3183,383,0
73,2024-12-11 13:12:49,NULL,4172,378,0
74,2024-12-11 13:12:18,NULL,16500,378,0
75,2024-12-11 10:24:42,NULL,14527,419,0
76,2024-12-11 10:22:43,NULL,10851,420,0
77,2024-12-11 10:22:10,NULL,7650,420,0
78,2024-12-11 09:45:26,NULL,15959,402,0
79,2024-12-11 09:44:59,NULL,2898,402,0
80,2024-12-10 13:35:35,NULL,15958,317,0
81,2024-12-10 13:35:08,NULL,12655,317,0
82,2024-12-10 13:32:56,NULL,4160,321,0
83,2024-12-10 13:23:57,NULL,14291,324,0
84,2024-12-10 13:09:44,NULL,5083,304,0
85,2024-12-10 13:09:16,NULL,16408,304,0
86,2024-12-10 13:05:26,NULL,14204,310,0
87,2024-12-10 12:57:19,NULL,16137,300,0
88,2024-12-10 12:56:48,NULL,9173,300,0
89,2024-12-10 12:54:51,NULL,6021,299,0
90,2024-12-10 11:25:48,NULL,1223,142,0
91,2024-12-10 11:24:17,NULL,14529,141,0
92,2024-12-10 11:23:39,NULL,16830,138,0
93,2024-12-10 11:22:46,NULL,6095,148,0
94,2024-12-10 11:17:31,NULL,11600,142,0
95,2024-12-10 11:16:15,NULL,5264,152,0
96,2024-12-10 11:15:19,NULL,7346,149,0
97,2024-12-10 11:14:44,NULL,4927,139,0
98,2024-12-10 11:14:02,NULL,9194,144,0
99,2024-12-10 10:18:19,NULL,14615,344,0
100,2024-12-10 10:17:42,NULL,7464,344,0
101,2024-12-10 10:17:10,NULL,4332,352,0
102,2024-12-10 10:16:39,NULL,12934,352,0
103,2024-12-10 10:16:04,NULL,2365,348,0
104,2024-12-10 10:15:37,NULL,15561,348,0
105,2024-12-10 10:14:52,NULL,14370,349,0
106,2024-12-10 10:13:37,NULL,14762,351,0
107,2024-12-05 08:17:56,NULL,16716,24,0
108,2024-12-05 08:17:30,NULL,11298,24,0
109,2024-12-05 08:16:52,NULL,8521,24,0
110,2024-12-05 08:16:21,NULL,6343,24,0
111,2024-12-05 08:15:53,NULL,11300,24,0
112,2024-12-05 08:15:26,NULL,11295,24,0
113,2024-12-05 08:14:57,NULL,8526,24,0
114,2024-12-05 08:14:28,NULL,11290,24,0
115,2024-12-05 08:14:02,NULL,11294,24,0
116,2024-12-05 08:13:36,NULL,2864,24,0
117,2024-12-05 08:13:08,NULL,11289,24,0
118,2024-12-05 08:12:43,NULL,8690,24,0
119,2024-12-05 08:11:22,NULL,8524,24,0
120,2024-12-05 08:10:29,NULL,11293,24,0
121,2024-12-05 08:09:52,NULL,8522,24,0
122,2024-12-05 08:08:28,NULL,11291,24,0
123,2024-12-05 08:07:24,NULL,11301,24,0
124,2024-12-04 12:17:52,NULL,16403,433,0
125,2024-12-04 12:17:28,NULL,13251,433,0
126,2024-12-04 12:13:59,NULL,14165,432,0
127,2024-12-04 12:13:25,NULL,4512,432,0
128,2024-12-04 12:12:49,NULL,8276,434,0
129,2024-12-04 12:12:21,NULL,7417,434,0
130,2024-12-04 12:09:48,NULL,1137,430,0
